text,timestamp,rating
Movie didn’t totally follow the book.,2026-02-24T19:58:31.088Z,STAR_4
"The cinematography was spectacular and the actors were great! The depiction of the story compared to the book had a few changes, so that’s the downside. Wonderful costumes and great score!",2026-02-24T15:37:42.817Z,STAR_3_5
"A bit long, and not entirely faithful to the novel.",2026-02-24T13:42:12.103Z,STAR_3_5
Not even 1 star!    Should not have used that classic literature to name such a disgusting boring movie. We paid our money to see a version of a classic - not a sex/animal behavior/perverted movie.   Producers should be ashamed for the deception!,2026-02-24T02:37:09.781Z,STAR_1
A visual treat! The costume and set design were stunning. ❤️,2026-02-24T01:58:08.805Z,STAR_5
a whole lot of nothing. no plot. it was a beautiful film and the acting was good. but other than it looking pretty there was no plot for 2 hours,2026-02-23T20:11:19.262Z,STAR_0_5
Found it very long and far from the better movies we have seen this year.,2026-02-23T19:55:41.173Z,STAR_2
"Cinematic masterpiece, great acting, music was epic too.",2026-02-23T18:17:08.479Z,STAR_5
It was good. Toxic but good to me at least. I’m sure didn’t follow the book but for something in the theater I enjoyed it. No I didn’t cry. It was toxic.,2026-02-23T18:04:32.766Z,STAR_4_5
"This movie was such a disappointment after reading the book. It completely left out huge main characters. Dropped at least 50% of the story and it was a very important 50% of the story.  Focused on just one aspect of the book anand completely changed that aspect for the worst. I understand, taking artistic liberties when remaking something. But, if you remake it in a way that you completely change the story I almost feel like you should have to name it something different. Zero respect for the original piece. I’ve been waiting for this for months and regrets wasting two hours of my time after having seen it.",2026-02-23T16:07:51.481Z,STAR_0_5
"Its a visual feast that demands to be seen on the biggest screen possible.  I thought everything from cinematography, set design, wardrobe and acting were top notch. Bravo!",2026-02-23T15:28:06.737Z,STAR_5
it was really engaging and such a good story. I definitely recommend it.,2026-02-23T15:22:27.071Z,STAR_5
"Took my bride to what I thought would be a chic flick matinee before her birthday dinner & concert. I consider it a chick flick with a lot of violence, slavery & sex scenes. Well-acted by the 2 stars & other cast. The depiction of slavery that was so common 500 years ago was brutal.",2026-02-23T13:49:13.929Z,STAR_3_5
It was honestly good it would of been a lot better if there was a happy ending 🥲,2026-02-23T04:36:03.106Z,STAR_4
I have never in my life wanted to go back to the theaters so much to rewatch a movie! Iv been 3 times to see this movie this week I cant wait ride dvd version! Absolutely in love with this movie!,2026-02-23T04:28:43.764Z,STAR_5
The gloomy backdrop and acting was great but the story was lacking and had gaps.  This is not like the original and only focuses on Heathcliff and Cathy and their love affair.,2026-02-23T04:19:12.133Z,STAR_3
"I really enjoyed this tragic love story. The acting, costuming and sets were spectacular!",2026-02-23T03:50:58.723Z,STAR_5
"I didn't like the surrealistic vibe, and Heathcliff was ugly inside and out, The only thing good about the movie was Magot Robbie.",2026-02-23T03:46:52.952Z,STAR_1_5
Way too much gratuitous sex in this movie that tarnished otherwise good acting for the most part.  Seems the physical gratification especially with respect to an illicit affair with a married woman diminished this movie.,2026-02-23T03:24:17.250Z,STAR_3
"If you like bdsm & animal role play, this one’s for you ✌🏼",2026-02-23T03:06:57.408Z,STAR_0_5
"This film is stunning to watch. It captures the vibe of love pined, lost & momentary.",2026-02-23T03:01:05.621Z,STAR_5
I likes some of the artistic aspects. Movie kpt my interest.,2026-02-23T01:41:46.978Z,STAR_4_5
People literally just mad cuz it isn't a faithful adaption.,2026-02-23T00:56:43.175Z,STAR_5
"No, it’s not true to the book, hence the “ “. That said, it’s a gorgeous, unnerving, all-consuming fever dream. The resulting obsession makes it impossible to see the movie only once.",2026-02-23T00:52:00.542Z,STAR_5
"Sets and fashion were exceptional. Don’t understand all the hate this is getting. Actors, storyline, and attention to detail were amazing",2026-02-23T00:45:14.935Z,STAR_5
"They took an old classic and turned it into a soft p*rn movie... very disappointing.   i can't believe they were charging double the price last weekend hoping to capitalize on the fact that it was valentine's weekend, this is not a date movie.",2026-02-23T00:44:09.661Z,STAR_1
"Was good until the movie shut down Monday through. Somehow a breaker went off and shut down the theater. Money was refunded. AMC Dine-In Block 37, Chicago IL.",2026-02-22T23:57:11.352Z,STAR_1
Heath is a funny man,2026-02-22T23:06:03.860Z,STAR_3
"Such a deep dive into the consequences of self betrayal, either from one’s own fears, societal pressure, or projections from others, which is still common today. Visually stunning and mystical. You feel every second of this film, and you won’t easily forget the imagery nor the pain of desire.",2026-02-22T22:22:15.284Z,STAR_5
"Saddest movie ever - loved it tho. Great cinematography and script and acting. Oh and the music was incredible too, probably my favorite part.",2026-02-22T21:18:28.341Z,STAR_5
OBSESSEDDDDDDDDDDDDDD,2026-02-22T20:39:06.582Z,STAR_5
Utterly heartbreaking cried from beginning to end,2026-02-22T20:21:20.402Z,STAR_5
This is an INTERPRETATION not an adaptation & its done beautifully. Incredible work put into this classic on both a visual and acting front.,2026-02-22T20:03:09.523Z,STAR_4
"I would give this  ZERO stars if I could. So bad I can’t even explain. No chemistry, I couldn’t have cared less about less about the whole thing. DO NOT I REPEAT DO NOT WASTE THE MONEY. Not even worth the spend should it show up on prime. I will never get the hours wasted back and that is what makes me the most mad.",2026-02-22T20:02:01.266Z,STAR_0_5
Another artsy film that seems to focus more on imagery than actual character development and dialogue.  Great performances by Margot Robbie and Jacob Elordi but a poor adaptation and execution. Can’t say I’ll ever watch this film again.,2026-02-22T18:47:57.163Z,STAR_3
"The most disappointing adaptation of Wuthering Heights I've seen so far. Definitely the fault of the director. The supporting cast was better than the two leads. I recommend these previous versions over this unfortunate mess: (Actor who played Heathcliff and year released) Lawrence Olivier (1939), Ralph Fiennes (1992), Robert Cavanah (1998) & Tom Hardy (2009). I could hardly wait for Cathy (Margot Robbie) to die, so the damned thing would be over.",2026-02-22T17:47:19.906Z,STAR_1_5
I loved it and it made me cry. If it didn’t make you cry what were u thinking ?,2026-02-22T16:57:12.879Z,STAR_4_5
"Beautiful cinematography. A bit liberal from the book, but def captures the main points of the story. 
It was definitely an ugly cry for me at the end. Even though I know what happens, and was sure I would cry a little. I was overwhelmed with emotion at the end. Sobbing, downcast, exhausted. Well done!",2026-02-22T15:36:15.887Z,STAR_5
"It was artistically beautiful  Dark but intriguing. 
Definitely an adult theme...but not as much as the hype! Such a heart wrenching story... I loved it",2026-02-22T15:32:58.495Z,STAR_4
Packed with raw emotion and authentic acting!,2026-02-22T15:28:00.453Z,STAR_5
Didn’t like this movie at all.,2026-02-22T15:25:00.477Z,STAR_1
This movie was horrible.  Margot Robbie could have played Helen Keller and still wouldn't be able to be a miracle worker.,2026-02-22T14:47:30.694Z,STAR_1
